Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
7802702,WHS3_41,COUNTRY,ZWE,AFR,YEAR,Africa,,,2009,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
7803772,WHS3_41,REGION,AFR,,YEAR,,,,2010,,,,,,,50,50.0,,,,2025-07-14T16:36:19.017+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
7803871,WHS3_41,COUNTRY,PAK,EMR,YEAR,Eastern Mediterranean,,,2020,,,,,,,83,83.0,,,,2025-07-14T16:36:19.017+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
7804573,WHS3_41,COUNTRY,MYS,WPR,YEAR,Western Pacific,,,2012,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
7805412,WHS3_41,COUNTRY,NZL,WPR,YEAR,Western Pacific,,,1974,,,,,,,21,21.0,,,,2025-07-14T16:36:19.017+02:00,1974,1974-01-01T00:00:00+01:00,1974-12-31T00:00:00+01:00
7809087,WHS3_41,COUNTRY,TGO,AFR,YEAR,Africa,,,1999,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1999,1999-01-01T00:00:00+01:00,1999-12-31T00:00:00+01:00
7811731,WHS3_41,COUNTRY,EST,EUR,YEAR,Europe,,,2019,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
7814972,WHS3_41,COUNTRY,AUS,WPR,YEAR,Western Pacific,,,2015,,,,,,,2,2.0,,,,2025-07-14T16:36:19.017+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
7817055,WHS3_41,REGION,SEAR,,YEAR,,,,2022,,,,,,,3958,3958.0,,,,2025-07-14T16:36:19.017+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
7817097,WHS3_41,COUNTRY,MAR,EMR,YEAR,Eastern Mediterranean,,,1996,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1996,1996-01-01T00:00:00+01:00,1996-12-31T00:00:00+01:00
7818283,WHS3_41,COUNTRY,TZA,AFR,YEAR,Africa,,,2004,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
7818549,WHS3_41,WORLDBANKINCOMEGROUP,WB_HI,,YEAR,,,,1998,,,,,,,1484,1484.0,,,,2025-07-14T16:36:19.017+02:00,1998,1998-01-01T00:00:00+01:00,1998-12-31T00:00:00+01:00
7818932,WHS3_41,COUNTRY,BDI,AFR,YEAR,Africa,,,2005,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
