Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
6871860,WHS3_49,COUNTRY,STP,YEAR,AFR,Africa,,,2015,,,,,,,0,0.0,,,,2019-09-11T08:29:12+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
6875298,WHS3_49,COUNTRY,PRK,YEAR,SEAR,South-East Asia,,,2003,,,,,,,0,0.0,,,,2019-09-11T08:28:02+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
6878822,WHS3_49,COUNTRY,VEN,YEAR,AMR,Americas,,,2000,,,,,,,0,0.0,,,,2019-09-11T08:29:38+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
6880861,WHS3_49,COUNTRY,EGY,YEAR,EMR,Eastern Mediterranean,,,1988,,,,,,,550,550.0,,,,2019-09-11T08:28:07+02:00,1988,1988-01-01T00:00:00+01:00,1988-12-31T00:00:00+01:00
6881263,WHS3_49,COUNTRY,RWA,YEAR,AFR,Africa,,,1996,,,,,,,0,0.0,,,,2019-09-11T08:29:09+02:00,1996,1996-01-01T00:00:00+01:00,1996-12-31T00:00:00+01:00
6883019,WHS3_49,COUNTRY,BRN,YEAR,WPR,Western Pacific,,,1990,,,,,,,0,0.0,,,,2019-09-11T08:27:47+02:00,1990,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00
6885766,WHS3_49,COUNTRY,ATG,YEAR,AMR,Americas,,,1984,,,,,,,0,0.0,,,,2019-09-11T08:27:35+02:00,1984,1984-01-01T00:00:00+01:00,1984-12-31T00:00:00+01:00
6886745,WHS3_49,COUNTRY,KGZ,YEAR,EUR,Europe,,,2018,,,,,,,0,0.0,,,,2019-09-11T08:28:32+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
6887169,WHS3_49,COUNTRY,KIR,YEAR,WPR,Western Pacific,,,1991,,,,,,,0,0.0,,,,2019-09-11T08:28:32+02:00,1991,1991-01-01T00:00:00+01:00,1991-12-31T00:00:00+01:00
6889669,WHS3_49,COUNTRY,SLE,YEAR,AFR,Africa,,,1999,,,,,,,14,14.0,,,,2019-09-11T08:29:16+02:00,1999,1999-01-01T00:00:00+01:00,1999-12-31T00:00:00+01:00
6892151,WHS3_49,COUNTRY,COM,YEAR,AFR,Africa,,,2006,,,,,,,0,0.0,,,,2019-09-11T08:27:56+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
6892390,WHS3_49,COUNTRY,ZWE,YEAR,AFR,Africa,,,1993,,,,,,,0,0.0,,,,2019-09-11T08:29:41+02:00,1993,1993-01-01T00:00:00+01:00,1993-12-31T00:00:00+01:00
6892427,WHS3_49,COUNTRY,ECU,YEAR,AMR,Americas,,,2003,,,,,,,0,0.0,,,,2019-09-11T08:28:06+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
6893215,WHS3_49,COUNTRY,MHL,YEAR,WPR,Western Pacific,,,1998,,,,,,,0,0.0,,,,2019-09-11T08:28:43+02:00,1998,1998-01-01T00:00:00+01:00,1998-12-31T00:00:00+01:00
6893625,WHS3_49,COUNTRY,MAR,YEAR,EMR,Eastern Mediterranean,,,1994,,,,,,,0,0.0,,,,2019-09-11T08:28:48+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
6894549,WHS3_49,COUNTRY,KNA,YEAR,AMR,Americas,,,1999,,,,,,,0,0.0,,,,2019-09-11T08:29:09+02:00,1999,1999-01-01T00:00:00+01:00,1999-12-31T00:00:00+01:00
