Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
3781431,HEPATITIS_HBV_INFECTIONS_NEW_NUM,COUNTRY,GNQ,AFR,YEAR,Africa,,,2022,,,,,,,1569,1569.0,,,,2025-01-08T11:26:29.403+01:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
2815185,HEPATITIS_HBV_INFECTIONS_NEW_NUM,COUNTRY,MDV,SEAR,YEAR,South-East Asia,,,2022,,,,,,,175,175.0,,,,2025-01-08T11:26:29.403+01:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
6518933,HEPATITIS_HBV_INFECTIONS_NEW_NUM,COUNTRY,UGA,AFR,YEAR,Africa,,,2022,,,,,,,5549,5549.0,,,,2025-01-08T11:26:29.403+01:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
3526681,HEPATITIS_HBV_INFECTIONS_NEW_NUM,COUNTRY,GEO,EUR,YEAR,Europe,,,2022,,,,,,,132,132.0,,,,2024-04-02T13:53:05.823+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
904330,HEPATITIS_HBV_INFECTIONS_NEW_NUM,COUNTRY,ZMB,AFR,YEAR,Africa,,,2022,,,,,,,2169,2169.0,,,,2025-01-08T11:26:29.403+01:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
9751212,HEPATITIS_HBV_INFECTIONS_NEW_NUM,COUNTRY,ZWE,AFR,YEAR,Africa,,,2022,,,,,,,5389,5389.0,,,,2025-01-08T11:26:29.403+01:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
751817,HEPATITIS_HBV_INFECTIONS_NEW_NUM,COUNTRY,CHL,AMR,YEAR,Americas,,,2022,,,,,,,8,8.0,,,,2025-01-08T11:26:29.403+01:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
7492122,HEPATITIS_HBV_INFECTIONS_NEW_NUM,COUNTRY,LAO,WPR,YEAR,Western Pacific,,,2022,,,,,,,961,961.0,,,,2024-04-02T13:53:05.823+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
1674630,HEPATITIS_HBV_INFECTIONS_NEW_NUM,COUNTRY,KIR,WPR,YEAR,Western Pacific,,,2022,,,,,,,39,39.0,,,,2025-01-08T11:26:29.403+01:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
84320,HEPATITIS_HBV_INFECTIONS_NEW_NUM,COUNTRY,GTM,AMR,YEAR,Americas,,,2022,,,,,,,200,200.0,,,,2025-01-08T11:26:29.403+01:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
3368191,HEPATITIS_HBV_INFECTIONS_NEW_NUM,COUNTRY,NPL,SEAR,YEAR,South-East Asia,,,2022,,,,,,,2023,2023.0,,,,2025-01-08T11:26:29.403+01:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
2170573,HEPATITIS_HBV_INFECTIONS_NEW_NUM,COUNTRY,PAN,AMR,YEAR,Americas,,,2022,,,,,,,21,21.0,,,,2025-01-08T11:26:29.403+01:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
3953506,HEPATITIS_HBV_INFECTIONS_NEW_NUM,COUNTRY,LKA,SEAR,YEAR,South-East Asia,,,2022,,,,,,,1491,1491.0,,,,2025-01-08T11:26:29.403+01:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
8444148,HEPATITIS_HBV_INFECTIONS_NEW_NUM,COUNTRY,MDA,EUR,YEAR,Europe,,,2022,,,,,,,270,270.0,,,,2025-01-08T11:26:29.403+01:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
3457043,HEPATITIS_HBV_INFECTIONS_NEW_NUM,COUNTRY,PNG,WPR,YEAR,Western Pacific,,,2022,,,,,,,8545,8545.0,,,,2025-01-08T11:26:29.403+01:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
5116325,HEPATITIS_HBV_INFECTIONS_NEW_NUM,COUNTRY,JAM,AMR,YEAR,Americas,,,2022,,,,,,,167,167.0,,,,2025-01-08T11:26:29.403+01:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
