Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
4469103,WHS4_117,COUNTRY,FJI,YEAR,WPR,Western Pacific,,,2017,,,,,,,91,91.0,,,,2025-07-14T16:23:12.92+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
4474136,WHS4_117,COUNTRY,MLT,YEAR,EUR,Europe,,,2024,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
4481041,WHS4_117,COUNTRY,LVA,YEAR,EUR,Europe,,,2020,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
4488101,WHS4_117,COUNTRY,SGP,YEAR,WPR,Western Pacific,,,2001,,,,,,,95,95.0,,,,2025-07-14T16:23:12.92+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
4493712,WHS4_117,WORLDBANKINCOMEGROUP,WB_LI,YEAR,,,,,2015,,,,,,,74,74.0,,,,2025-07-14T16:23:12.92+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
4494487,WHS4_117,COUNTRY,GUY,YEAR,AMR,Americas,,,2012,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4500972,WHS4_117,COUNTRY,RWA,YEAR,AFR,Africa,,,2004,,,,,,,89,89.0,,,,2025-07-14T16:23:12.92+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
4507340,WHS4_117,COUNTRY,MNE,YEAR,EUR,Europe,,,2016,,,,,,,75,75.0,,,,2025-07-14T16:23:12.92+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
4507384,WHS4_117,COUNTRY,IRQ,YEAR,EMR,Eastern Mediterranean,,,2001,,,,,,,66,66.0,,,,2025-07-14T16:23:12.92+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
4520367,WHS4_117,REGION,EMR,YEAR,,,,,2005,,,,,,,66,66.0,,,,2025-07-14T16:23:12.92+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
4525707,WHS4_117,COUNTRY,ISR,YEAR,EUR,Europe,,,2007,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
4525763,WHS4_117,COUNTRY,BIH,YEAR,EUR,Europe,,,2007,,,,,,,94,94.0,,,,2025-07-14T16:23:12.92+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
4526868,WHS4_117,REGION,SEAR,YEAR,,,,,2024,,,,,,,92,92.0,,,,2025-07-14T16:23:12.92+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
4532411,WHS4_117,COUNTRY,KGZ,YEAR,EUR,Europe,,,2005,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
4544476,WHS4_117,COUNTRY,CHL,YEAR,AMR,Americas,,,2009,,,,,,,94,94.0,,,,2025-07-14T16:23:12.92+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
4545901,WHS4_117,COUNTRY,AFG,YEAR,EMR,Eastern Mediterranean,,,2016,,,,,,,66,66.0,,,,2025-07-14T16:23:12.92+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
4550779,WHS4_117,COUNTRY,SUR,YEAR,AMR,Americas,,,2023,,,,,,,72,72.0,,,,2025-07-14T16:23:12.92+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
4551353,WHS4_117,COUNTRY,SSD,YEAR,AFR,Africa,,,2017,,,,,,,52,52.0,,,,2025-07-14T16:23:12.92+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
