Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
135909,WHS4_544,COUNTRY,STP,AFR,YEAR,Africa,,,2023,,,,,,,85,85.0,,,,2025-07-14T16:23:12.92+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
136829,WHS4_544,COUNTRY,SRB,EUR,YEAR,Europe,,,2013,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
146155,WHS4_544,COUNTRY,NOR,EUR,YEAR,Europe,,,2011,,,,,,,94,94.0,,,,2025-07-14T16:23:12.92+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
147235,WHS4_544,COUNTRY,TUV,WPR,YEAR,Western Pacific,,,2013,,,,,,,90,90.0,,,,2025-07-14T16:23:12.92+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
148318,WHS4_544,COUNTRY,TTO,AMR,YEAR,Americas,,,2002,,,,,,,96,96.0,,,,2025-07-14T16:23:12.92+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
152848,WHS4_544,COUNTRY,PNG,WPR,YEAR,Western Pacific,,,2009,,,,,,,70,70.0,,,,2025-07-14T16:23:12.92+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
153718,WHS4_544,COUNTRY,BGR,EUR,YEAR,Europe,,,2015,,,,,,,91,91.0,,,,2025-07-14T16:23:12.92+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
153795,WHS4_544,COUNTRY,PNG,WPR,YEAR,Western Pacific,,,2021,,,,,,,34,34.0,,,,2025-07-14T16:23:12.92+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
160877,WHS4_544,COUNTRY,LBR,AFR,YEAR,Africa,,,2004,,,,,,,47,47.0,,,,2025-07-14T16:23:12.92+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
162908,WHS4_544,COUNTRY,ZMB,AFR,YEAR,Africa,,,2017,,,,,,,92,92.0,,,,2025-07-14T16:23:12.92+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
167894,WHS4_544,COUNTRY,AZE,EUR,YEAR,Europe,,,2013,,,,,,,83,83.0,,,,2025-07-14T16:23:12.92+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
169371,WHS4_544,COUNTRY,SMR,EUR,YEAR,Europe,,,2019,,,,,,,88,88.0,,,,2025-07-14T16:23:12.92+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
172908,WHS4_544,COUNTRY,IND,SEAR,YEAR,South-East Asia,,,2018,,,,,,,90,90.0,,,,2025-07-14T16:23:12.92+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
173315,WHS4_544,COUNTRY,BIH,EUR,YEAR,Europe,,,2020,,,,,,,78,78.0,,,,2025-07-14T16:23:12.92+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
173349,WHS4_544,COUNTRY,LTU,EUR,YEAR,Europe,,,2018,,,,,,,92,92.0,,,,2025-07-14T16:23:12.92+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
177899,WHS4_544,COUNTRY,SDN,EMR,YEAR,Eastern Mediterranean,,,2024,,,,,,,40,40.0,,,,2025-07-14T16:23:12.92+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
184362,WHS4_544,COUNTRY,NIU,WPR,YEAR,Western Pacific,,,2018,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
184455,WHS4_544,COUNTRY,SWE,EUR,YEAR,Europe,,,2004,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
187062,WHS4_544,COUNTRY,VUT,WPR,YEAR,Western Pacific,,,2002,,,,,,,67,67.0,,,,2025-07-14T16:23:12.92+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
187523,WHS4_544,COUNTRY,FIN,EUR,YEAR,Europe,,,2010,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
