Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
9492316,WHS4_100,REGION,EUR,YEAR,,,,2002,,,,,,,,93,93.0,,,,2025-07-14T16:23:12.92+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
9497344,WHS4_100,COUNTRY,ISR,YEAR,EUR,Europe,,2021,,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
9504938,WHS4_100,COUNTRY,BWA,YEAR,AFR,Africa,,2003,,,,,,,,96,96.0,,,,2025-07-14T16:23:12.92+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
9505630,WHS4_100,COUNTRY,LBR,YEAR,AFR,Africa,,2010,,,,,,,,70,70.0,,,,2025-07-14T16:23:12.92+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
9507234,WHS4_100,COUNTRY,TLS,YEAR,SEAR,South-East Asia,,2005,,,,,,,,55,55.0,,,,2025-07-14T16:23:12.92+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
9508475,WHS4_100,COUNTRY,HTI,YEAR,AMR,Americas,,2019,,,,,,,,54,54.0,,,,2025-07-14T16:23:12.92+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
9509169,WHS4_100,COUNTRY,GIN,YEAR,AFR,Africa,,2019,,,,,,,,53,53.0,,,,2025-07-14T16:23:12.92+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
9512731,WHS4_100,COUNTRY,AUT,YEAR,EUR,Europe,,2014,,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
9514836,WHS4_100,COUNTRY,DJI,YEAR,EMR,Eastern Mediterranean,,2022,,,,,,,,59,59.0,,,,2025-07-14T16:23:12.92+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
9515620,WHS4_100,COUNTRY,LAO,YEAR,WPR,Western Pacific,,2006,,,,,,,,57,57.0,,,,2025-07-14T16:23:12.92+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
9516381,WHS4_100,COUNTRY,FJI,YEAR,WPR,Western Pacific,,2011,,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
9516834,WHS4_100,COUNTRY,CIV,YEAR,AFR,Africa,,2004,,,,,,,,68,68.0,,,,2025-07-14T16:23:12.92+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
9518751,WHS4_100,COUNTRY,SAU,YEAR,EMR,Eastern Mediterranean,,2003,,,,,,,,95,95.0,,,,2025-07-14T16:23:12.92+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
9518839,WHS4_100,COUNTRY,SVK,YEAR,EUR,Europe,,2013,,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
9519146,WHS4_100,COUNTRY,ARG,YEAR,AMR,Americas,,2023,,,,,,,,66,66.0,,,,2025-07-14T16:23:12.92+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
9520232,WHS4_100,COUNTRY,COG,YEAR,AFR,Africa,,2002,,,,,,,,41,41.0,,,,2025-07-14T16:23:12.92+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
9521495,WHS4_100,COUNTRY,GNQ,YEAR,AFR,Africa,,2006,,,,,,,,46,46.0,,,,2025-07-14T16:23:12.92+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
9522374,WHS4_100,COUNTRY,CHL,YEAR,AMR,Americas,,2004,,,,,,,,93,93.0,,,,2025-07-14T16:23:12.92+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
9523754,WHS4_100,COUNTRY,KGZ,YEAR,EUR,Europe,,2000,,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
9523886,WHS4_100,COUNTRY,PNG,YEAR,WPR,Western Pacific,,2017,,,,,,,,36,36.0,,,,2025-07-14T16:23:12.92+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
9526331,WHS4_100,COUNTRY,ALB,YEAR,EUR,Europe,,2016,,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
9526517,WHS4_100,COUNTRY,KHM,YEAR,WPR,Western Pacific,,2001,,,,,,,,60,60.0,,,,2025-07-14T16:23:12.92+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
9526973,WHS4_100,COUNTRY,NAM,YEAR,AFR,Africa,,2016,,,,,,,,85,85.0,,,,2025-07-14T16:23:12.92+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
9530962,WHS4_100,COUNTRY,GTM,YEAR,AMR,Americas,,2000,,,,,,,,81,81.0,,,,2025-07-14T16:23:12.92+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
9536522,WHS4_100,COUNTRY,URY,YEAR,AMR,Americas,,2022,,,,,,,,94,94.0,,,,2025-07-14T16:23:12.92+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
9543294,WHS4_100,COUNTRY,HUN,YEAR,EUR,Europe,,2010,,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
9544670,WHS4_100,WORLDBANKINCOMEGROUP,WB_UMI,YEAR,,,,2003,,,,,,,,86,86.0,,,,2025-07-14T16:23:12.92+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
9545714,WHS4_100,COUNTRY,ERI,YEAR,AFR,Africa,,2010,,,,,,,,95,95.0,,,,2025-07-14T16:23:12.92+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
9545800,WHS4_100,COUNTRY,PRY,YEAR,AMR,Americas,,2017,,,,,,,,91,91.0,,,,2025-07-14T16:23:12.92+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
9546393,WHS4_100,COUNTRY,BOL,YEAR,AMR,Americas,,2000,,,,,,,,75,75.0,,,,2025-07-14T16:23:12.92+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
9547189,WHS4_100,COUNTRY,GTM,YEAR,AMR,Americas,,2010,,,,,,,,94,94.0,,,,2025-07-14T16:23:12.92+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
9547956,WHS4_100,COUNTRY,GTM,YEAR,AMR,Americas,,2009,,,,,,,,92,92.0,,,,2025-07-14T16:23:12.92+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
9550797,WHS4_100,COUNTRY,TKM,YEAR,EUR,Europe,,2000,,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
9552926,WHS4_100,COUNTRY,BEL,YEAR,EUR,Europe,,2022,,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
9553023,WHS4_100,COUNTRY,ALB,YEAR,EUR,Europe,,2013,,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
9555127,WHS4_100,COUNTRY,GBR,YEAR,EUR,Europe,,2016,,,,,,,,94,94.0,,,,2025-07-14T16:23:12.92+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
9555231,WHS4_100,COUNTRY,GUY,YEAR,AMR,Americas,,2024,,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
9559737,WHS4_100,COUNTRY,PNG,YEAR,WPR,Western Pacific,,2023,,,,,,,,35,35.0,,,,2025-07-14T16:23:12.92+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
9561727,WHS4_100,COUNTRY,BLZ,YEAR,AMR,Americas,,2024,,,,,,,,88,88.0,,,,2025-07-14T16:23:12.92+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
9566013,WHS4_100,COUNTRY,SAU,YEAR,EMR,Eastern Mediterranean,,2015,,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
