Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
1376181,WHS8_110,REGION,WPR,YEAR,,,,2006,,,,,,,,93,93.0,,,,2025-07-14T16:23:12.92+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
1376523,WHS8_110,COUNTRY,GNB,YEAR,AFR,Africa,,2016,,,,,,,,80,80.0,,,,2025-07-14T16:23:12.92+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
1377261,WHS8_110,COUNTRY,BHR,YEAR,EMR,Eastern Mediterranean,,2021,,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
1383377,WHS8_110,COUNTRY,ITA,YEAR,EUR,Europe,,2018,,,,,,,,93,93.0,,,,2025-07-14T16:23:12.92+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
1383778,WHS8_110,COUNTRY,STP,YEAR,AFR,Africa,,2009,,,,,,,,90,90.0,,,,2025-07-14T16:23:12.92+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
1384454,WHS8_110,COUNTRY,CHE,YEAR,EUR,Europe,,2007,,,,,,,,87,87.0,,,,2025-07-14T16:23:12.92+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
1384489,WHS8_110,COUNTRY,LUX,YEAR,EUR,Europe,,2015,,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
1384634,WHS8_110,COUNTRY,CMR,YEAR,AFR,Africa,,2017,,,,,,,,67,67.0,,,,2025-07-14T16:23:12.92+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
1400968,WHS8_110,COUNTRY,MCO,YEAR,EUR,Europe,,2015,,,,,,,,89,89.0,,,,2025-07-14T16:23:12.92+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
1403035,WHS8_110,COUNTRY,LBR,YEAR,AFR,Africa,,2007,,,,,,,,71,71.0,,,,2025-07-14T16:23:12.92+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
1403396,WHS8_110,COUNTRY,NAM,YEAR,AFR,Africa,,2020,,,,,,,,90,90.0,,,,2025-07-14T16:23:12.92+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
1407965,WHS8_110,COUNTRY,NAM,YEAR,AFR,Africa,,2003,,,,,,,,70,70.0,,,,2025-07-14T16:23:12.92+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
1408137,WHS8_110,REGION,AFR,YEAR,,,,2021,,,,,,,,68,68.0,,,,2025-07-14T16:23:12.92+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
1410227,WHS8_110,COUNTRY,AND,YEAR,EUR,Europe,,2004,,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
1422549,WHS8_110,COUNTRY,BFA,YEAR,AFR,Africa,,2006,,,,,,,,88,88.0,,,,2025-07-14T16:23:12.92+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
1433316,WHS8_110,COUNTRY,MMR,YEAR,SEAR,South-East Asia,,2015,,,,,,,,84,84.0,,,,2025-07-14T16:23:12.92+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
1440053,WHS8_110,COUNTRY,SUR,YEAR,AMR,Americas,,2004,,,,,,,,86,86.0,,,,2025-07-14T16:23:12.92+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
1441349,WHS8_110,COUNTRY,LKA,YEAR,SEAR,South-East Asia,,2008,,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
1448377,WHS8_110,COUNTRY,CMR,YEAR,AFR,Africa,,2002,,,,,,,,53,53.0,,,,2025-07-14T16:23:12.92+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
1452093,WHS8_110,COUNTRY,TUR,YEAR,EUR,Europe,,2001,,,,,,,,91,91.0,,,,2025-07-14T16:23:12.92+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
1452950,WHS8_110,COUNTRY,SAU,YEAR,EMR,Eastern Mediterranean,,2005,,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
1454948,WHS8_110,COUNTRY,MMR,YEAR,SEAR,South-East Asia,,2005,,,,,,,,84,84.0,,,,2025-07-14T16:23:12.92+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
1460799,WHS8_110,COUNTRY,ATG,YEAR,AMR,Americas,,2021,,,,,,,,85,85.0,,,,2025-07-14T16:23:12.92+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
1465863,WHS8_110,COUNTRY,STP,YEAR,AFR,Africa,,2003,,,,,,,,87,87.0,,,,2025-07-14T16:23:12.92+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
1467325,WHS8_110,COUNTRY,PHL,YEAR,WPR,Western Pacific,,2020,,,,,,,,79,79.0,,,,2025-07-14T16:23:12.92+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
1467434,WHS8_110,COUNTRY,BEL,YEAR,EUR,Europe,,2000,,,,,,,,82,82.0,,,,2025-07-14T16:23:12.92+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
1471163,WHS8_110,COUNTRY,POL,YEAR,EUR,Europe,,2017,,,,,,,,94,94.0,,,,2025-07-14T16:23:12.92+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
1474081,WHS8_110,COUNTRY,GRC,YEAR,EUR,Europe,,2000,,,,,,,,89,89.0,,,,2025-07-14T16:23:12.92+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
1479322,WHS8_110,REGION,EMR,YEAR,,,,2019,,,,,,,,82,82.0,,,,2025-07-14T16:23:12.92+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
1479661,WHS8_110,COUNTRY,FJI,YEAR,WPR,Western Pacific,,2002,,,,,,,,85,85.0,,,,2025-07-14T16:23:12.92+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
1485516,WHS8_110,COUNTRY,MDV,YEAR,SEAR,South-East Asia,,2022,,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
1485871,WHS8_110,COUNTRY,COL,YEAR,AMR,Americas,,2002,,,,,,,,93,93.0,,,,2025-07-14T16:23:12.92+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
1491716,WHS8_110,COUNTRY,CHE,YEAR,EUR,Europe,,2019,,,,,,,,95,95.0,,,,2025-07-14T16:23:12.92+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
1492875,WHS8_110,COUNTRY,TZA,YEAR,AFR,Africa,,2013,,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
1496350,WHS8_110,COUNTRY,ATG,YEAR,AMR,Americas,,2023,,,,,,,,94,94.0,,,,2025-07-14T16:23:12.92+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
1497213,WHS8_110,COUNTRY,KEN,YEAR,AFR,Africa,,2013,,,,,,,,94,94.0,,,,2025-07-14T16:23:12.92+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
1499249,WHS8_110,COUNTRY,URY,YEAR,AMR,Americas,,2010,,,,,,,,95,95.0,,,,2025-07-14T16:23:12.92+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
1503760,WHS8_110,COUNTRY,ATG,YEAR,AMR,Americas,,2003,,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
1503934,WHS8_110,COUNTRY,KGZ,YEAR,EUR,Europe,,2020,,,,,,,,92,92.0,,,,2025-07-14T16:23:12.92+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
1504880,WHS8_110,REGION,EMR,YEAR,,,,2016,,,,,,,,81,81.0,,,,2025-07-14T16:23:12.92+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
1509729,WHS8_110,COUNTRY,THA,YEAR,SEAR,South-East Asia,,2016,,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
1517566,WHS8_110,REGION,AMR,YEAR,,,,2007,,,,,,,,93,93.0,,,,2025-07-14T16:23:12.92+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
1524251,WHS8_110,COUNTRY,EST,YEAR,EUR,Europe,,2005,,,,,,,,96,96.0,,,,2025-07-14T16:23:12.92+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
1528778,WHS8_110,COUNTRY,MKD,YEAR,EUR,Europe,,2008,,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
1528795,WHS8_110,COUNTRY,COG,YEAR,AFR,Africa,,2004,,,,,,,,65,65.0,,,,2025-07-14T16:23:12.92+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
1529909,WHS8_110,COUNTRY,MOZ,YEAR,AFR,Africa,,2009,,,,,,,,80,80.0,,,,2025-07-14T16:23:12.92+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
1530263,WHS8_110,COUNTRY,KIR,YEAR,WPR,Western Pacific,,2017,,,,,,,,81,81.0,,,,2025-07-14T16:23:12.92+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
1530353,WHS8_110,COUNTRY,GMB,YEAR,AFR,Africa,,2014,,,,,,,,96,96.0,,,,2025-07-14T16:23:12.92+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
1530531,WHS8_110,COUNTRY,JPN,YEAR,WPR,Western Pacific,,2003,,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
1531368,WHS8_110,COUNTRY,GNQ,YEAR,AFR,Africa,,2011,,,,,,,,46,46.0,,,,2025-07-14T16:23:12.92+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
1537601,WHS8_110,COUNTRY,KWT,YEAR,EMR,Eastern Mediterranean,,2014,,,,,,,,94,94.0,,,,2025-07-14T16:23:12.92+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
1542593,WHS8_110,COUNTRY,IDN,YEAR,SEAR,South-East Asia,,2001,,,,,,,,76,76.0,,,,2025-07-14T16:23:12.92+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
1543279,WHS8_110,COUNTRY,KOR,YEAR,WPR,Western Pacific,,2002,,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
1543287,WHS8_110,COUNTRY,DOM,YEAR,AMR,Americas,,2024,,,,,,,,89,89.0,,,,2025-07-14T16:23:12.92+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
1550468,WHS8_110,COUNTRY,TUV,YEAR,WPR,Western Pacific,,2023,,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
1554858,WHS8_110,COUNTRY,BGD,YEAR,SEAR,South-East Asia,,2012,,,,,,,,88,88.0,,,,2025-07-14T16:23:12.92+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
1554990,WHS8_110,COUNTRY,TUN,YEAR,EMR,Eastern Mediterranean,,2001,,,,,,,,92,92.0,,,,2025-07-14T16:23:12.92+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
1561591,WHS8_110,COUNTRY,TUN,YEAR,EMR,Eastern Mediterranean,,2020,,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
1566420,WHS8_110,COUNTRY,GRD,YEAR,AMR,Americas,,2000,,,,,,,,92,92.0,,,,2025-07-14T16:23:12.92+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
1568439,WHS8_110,COUNTRY,MHL,YEAR,WPR,Western Pacific,,2021,,,,,,,,85,85.0,,,,2025-07-14T16:23:12.92+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
1569433,WHS8_110,COUNTRY,GEO,YEAR,EUR,Europe,,2011,,,,,,,,91,91.0,,,,2025-07-14T16:23:12.92+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
1573584,WHS8_110,COUNTRY,DJI,YEAR,EMR,Eastern Mediterranean,,2024,,,,,,,,75,75.0,,,,2025-07-14T16:23:12.92+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
1575432,WHS8_110,COUNTRY,COG,YEAR,AFR,Africa,,2005,,,,,,,,54,54.0,,,,2025-07-14T16:23:12.92+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
1579761,WHS8_110,COUNTRY,SYC,YEAR,AFR,Africa,,2006,,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
1579786,WHS8_110,COUNTRY,KNA,YEAR,AMR,Americas,,2011,,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
1581035,WHS8_110,COUNTRY,TGO,YEAR,AFR,Africa,,2005,,,,,,,,70,70.0,,,,2025-07-14T16:23:12.92+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
1586313,WHS8_110,COUNTRY,SOM,YEAR,EMR,Eastern Mediterranean,,2018,,,,,,,,53,53.0,,,,2025-07-14T16:23:12.92+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
1588594,WHS8_110,COUNTRY,SYR,YEAR,EMR,Eastern Mediterranean,,2012,,,,,,,,72,72.0,,,,2025-07-14T16:23:12.92+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
1592974,WHS8_110,COUNTRY,BLR,YEAR,EUR,Europe,,2023,,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
